test,rad,%,MFCS_forb,MFCS_scat,MFCS_score,MFCS_time,TGV_forb,TGV_scat,TGV_score,TGV_time,TGV2_forb,TGV2_scat,TGV2_score,TGV2_time,tree_forb,tree_scat,tree_score,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_score,tree_shrink_time,ldit_forb,ldit_scat,ldit_score,ldit_time,ldpow_forb,ldpow_scat,ldpow_score,ldpow_time,TGV3_forb,TGV3_scat,TGV3_score,TGV3_time
big/fvs022.txtg,4,20,479,2032,95,0:00.22,11,7,3,0:21.42,8,65,11,0:15.98,0,59,59,0:00.29,0,59,59,0:00.15,0,63,63,0:00.19,9,602,98,0:17.16,-,-,-,TIMEOUT
big/fvs040.txtg,4,100,961,9046,397,0:05.45,15,15,10,0:21.62,10,219,58,0:18.50,0,110,110,0:03.33,0,110,110,0:01.48,0,118,118,0:01.70,9,2518,421,1:17.00,-,-,-,TIMEOUT
big/fvs040.txtg,4,20,441,1953,88,0:00.32,10,26,7,0:16.87,10,75,18,0:14.47,0,58,58,0:00.21,0,58,58,0:00.13,0,65,65,0:00.15,9,591,94,0:15.28,-,-,-,TIMEOUT
big/fvs045.txtg,4,100,0,360,360,0:00.46,0,483,483,0:10.57,0,677,677,0:04.40,0,892,892,0:00.41,0,892,892,0:00.25,0,950,950,0:00.11,0,1635,1635,0:01.15,-,-,-,TIMEOUT
big/fvs045.txtg,4,20,0,260,260,0:00.13,0,272,272,0:01.98,0,501,501,0:01.22,0,493,493,0:00.14,0,493,493,0:00.10,0,549,549,0:00.08,0,717,717,0:00.31,-,-,-,TIMEOUT
big/fvs074.txtg,4,100,960,9000,408,0:02.06,17,13,5,0:24.73,11,206,33,0:20.03,0,113,113,0:03.62,0,113,113,0:01.46,0,119,119,0:01.80,6,2202,424,1:14.36,-,-,-,TIMEOUT
big/fvs074.txtg,4,20,450,1962,90,0:00.16,6,4,2,0:18.62,6,72,15,0:15.92,0,53,53,0:00.24,0,53,53,0:00.13,0,59,59,0:00.16,8,579,93,0:14.94,-,-,-,TIMEOUT
big/fvs080.txtg,4,100,606,4429,225,0:01.50,1,231,228,0:05.84,1,241,228,0:05.24,0,84,84,0:00.80,0,84,84,0:00.39,0,88,88,0:00.40,4,870,236,0:15.30,-,-,-,TIMEOUT
big/fvs080.txtg,4,20,271,995,41,0:00.11,3,49,15,0:04.70,3,52,15,0:04.36,0,47,47,0:00.08,0,47,47,0:00.05,0,50,50,0:00.06,0,52,52,0:03.07,-,-,-,TIMEOUT
big/hep-th.txtg,4,100,930,1140,4,0:00.23,0,651,651,0:11.46,0,816,816,0:08.24,0,948,948,0:00.29,0,948,948,0:00.13,0,965,965,0:00.07,0,1010,1010,0:03.32,-,-,-,TIMEOUT
big/hep-th.txtg,4,20,0,311,311,0:00.05,0,308,308,0:13.16,0,422,422,0:06.74,0,467,467,0:00.06,0,467,467,0:00.05,0,481,481,0:00.04,0,506,506,0:00.66,-,-,-,TIMEOUT
big/p2p-Gnutella04.txtg,4,100,3790,6021,25,0:04.35,-,-,-,TIMEOUT,-,-,-,TIMEOUT,0,211,211,0:00.41,0,211,211,0:00.25,0,251,251,0:00.16,0,289,289,1:16.23,-,-,-,TIMEOUT
big/p2p-Gnutella04.txtg,4,20,2408,1339,6,0:00.52,-,-,-,TIMEOUT,-,-,-,TIMEOUT,0,117,117,0:00.12,0,117,117,0:00.08,0,138,138,0:00.09,0,151,151,0:11.57,-,-,-,TIMEOUT
big/planar10000.txtg,4,100,2176,3710,12,0:00.64,0,41,41,0:02.86,0,273,273,0:02.58,0,406,406,0:00.32,0,406,406,0:00.15,0,440,440,0:00.10,0,520,520,0:06.92,-,-,-,TIMEOUT
big/planar10000.txtg,4,20,614,870,5,0:00.10,0,24,24,0:02.18,0,133,133,0:01.92,0,202,202,0:00.08,0,202,202,0:00.06,0,226,226,0:00.05,0,263,263,0:01.34,-,-,-,TIMEOUT
big/planar12000.txtg,4,100,2329,4605,34,0:02.09,0,110,110,0:02.62,0,404,404,0:02.47,0,682,682,0:00.51,0,682,682,0:00.22,0,731,731,0:00.12,0,834,834,0:06.74,-,-,-,TIMEOUT
big/planar12000.txtg,4,20,628,1011,15,0:00.13,0,58,58,0:01.77,0,260,260,0:01.40,0,346,346,0:00.11,0,346,346,0:00.07,0,366,366,0:00.06,0,415,415,0:01.26,-,-,-,TIMEOUT
big/planar15000.txtg,4,100,1165,2710,31,0:00.95,0,331,331,0:02.30,0,825,825,0:02.67,0,1158,1158,0:00.76,0,1158,1158,0:00.31,0,1243,1243,0:00.12,0,1418,1418,0:05.75,-,-,-,TIMEOUT
big/planar15000.txtg,4,20,0,177,177,0:00.07,0,171,171,0:01.96,0,452,452,0:01.73,0,574,574,0:00.16,0,574,574,0:00.09,0,597,597,0:00.06,0,655,655,0:01.10,-,-,-,TIMEOUT
big/planar7002.txtg,4,100,2173,2656,4,0:00.34,0,10,10,0:02.53,0,53,53,0:02.15,0,109,109,0:00.14,0,109,109,0:00.09,0,129,129,0:00.08,0,166,166,0:07.39,-,-,-,TIMEOUT
