test,rad,%,MFCS_forb,MFCS_scat,MFCS_time,TGV_forb,TGV_scat,TGV_time,TGV2_forb,TGV2_scat,TGV2_time,tree_forb,tree_scat,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_time,ldit_forb,ldit_scat,ldit_time,ldpow_forb,ldpow_scat,ldpow_time,TGV3_forb,TGV3_scat,TGV3_time
small/fvs051.txtg,4,20,0,1,0:00.00,0,1,0:00.04,0,1,0:00.04,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.12
small/fvs066.txtg,4,100,81,13,0:00.00,9,2,0:00.64,9,2,0:00.64,0,1,0:00.01,0,1,0:00.01,0,1,0:00.01,0,1,0:00.03,0,1,0:07.58
small/fvs066.txtg,4,20,30,4,0:00.01,0,1,0:00.56,0,1,0:00.57,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.01,0,1,0:02.28
small/fvs097.txtg,4,100,34,12,0:00.00,0,3,0:00.08,0,3,0:00.07,0,4,0:00.00,0,4,0:00.00,0,4,0:00.00,0,6,0:00.01,0,6,0:00.55
small/fvs097.txtg,4,20,0,5,0:00.00,0,3,0:00.05,0,3,0:00.05,0,3,0:00.00,0,3,0:00.00,0,2,0:00.00,0,5,0:00.01,0,5,0:00.13
small/fvs099.txtg,4,100,9,12,0:00.00,2,4,0:00.01,2,4,0:00.01,0,4,0:00.00,0,4,0:00.00,0,4,0:00.00,0,5,0:00.00,0,5,0:00.04
small/fvs099.txtg,4,20,1,3,0:00.00,0,2,0:00.00,0,2,0:00.01,0,3,0:00.00,0,3,0:00.00,0,3,0:00.00,0,3,0:00.00,0,3,0:00.01
small/fvs100.txtg,4,100,15,8,0:00.00,0,5,0:00.12,0,5,0:00.12,0,5,0:00.00,0,5,0:00.00,0,7,0:00.00,0,12,0:00.02,0,12,0:01.27
small/fvs100.txtg,4,20,3,5,0:00.00,0,4,0:00.12,0,5,0:00.09,0,5,0:00.00,0,5,0:00.00,0,6,0:00.00,0,8,0:00.01,0,8,0:00.42
small/hex.txtg,4,100,0,12,0:00.00,0,13,0:00.15,0,14,0:00.15,0,9,0:00.01,0,9,0:00.00,0,10,0:00.00,0,19,0:00.02,0,19,0:01.88
small/hex.txtg,4,20,0,8,0:00.01,0,8,0:00.08,0,10,0:00.10,0,8,0:00.01,0,8,0:00.00,0,10,0:00.00,0,15,0:00.01,0,15,0:00.69
small/karate.txtg,4,100,10,19,0:00.00,2,6,0:00.01,2,6,0:00.01,2,7,0:00.00,2,6,0:00.00,2,7,0:00.00,6,15,0:00.00,6,15,0:00.05
small/karate.txtg,4,20,5,4,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,4,3,0:00.00,4,3,0:00.01
small/lesmiserables.txtg,4,100,20,35,0:00.00,1,7,0:00.01,1,7,0:00.02,1,4,0:00.00,1,3,0:00.00,1,4,0:00.00,4,13,0:00.01,4,12,0:00.32
small/lesmiserables.txtg,4,20,8,11,0:00.00,1,4,0:00.02,1,4,0:00.02,1,4,0:00.00,1,3,0:00.00,1,2,0:00.00,2,5,0:00.00,2,5,0:00.09
small/photoviz_dynamic.txtg,4,100,54,133,0:00.01,0,11,0:00.07,0,18,0:00.06,0,23,0:00.01,0,23,0:00.00,0,26,0:00.00,0,28,0:00.03,0,28,0:04.54
small/photoviz_dynamic.txtg,4,20,15,18,0:00.00,0,8,0:00.05,0,14,0:00.04,0,14,0:00.00,0,14,0:00.00,0,17,0:00.00,0,21,0:00.01,0,21,0:00.93
small/planar302.txtg,4,100,97,122,0:00.01,0,1,0:00.06,0,1,0:00.06,0,5,0:00.01,0,5,0:00.01,0,5,0:00.01,0,8,0:00.04,0,8,0:02.47
